APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.116.125, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 38272, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 36461, Destination IP: 17.253.116.125, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.116.125, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 36461, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 56680, Destination IP: 17.253.114.43, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.114.43, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 56680, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 45309, Destination IP: 17.253.114.43, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.114.43, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 45309, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 50449, Destination IP: 17.253.114.43, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.114.43, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 50449, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 52043, Destination IP: 17.253.114.35, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 17.253.114.35, Source Port: 123, Destination IP: 10.215.173.1, Destination Port: 52043, Query: N/A, Response: N/A, Answer: N/A, Length: 76
APP Name: 知乎, Protocol: NTPHeader, Source IP: 10.215.173.1, Source Port: 58967, Destination IP: 17.253.114.35, Destination Port: 123, Query: N/A, Response: N/A, Answer: N/A, Length: 76
